ImageId,Label
1,2
2,7
3,1
4,7
5,6
6,7
7,6
8,6
9,7
10,6
11,6
12,7
13,7
14,6
15,7
16,7
17,7
18,1
19,7
20,6
21,7
22,1
23,1
24,5
25,7
26,1
27,6
28,7
29,7
30,7
31,7
32,7
33,7
34,6
35,6
36,6
37,5
38,5
39,1
40,6
41,7
42,7
43,7
44,7
45,6
46,7
47,1
48,6
49,6
50,1
51,6
52,6
53,1
54,5
55,7
56,2
57,1
58,6
59,7
60,7
61,7
62,1
63,7
64,6
65,7
66,6
67,1
68,7
69,6
70,1
71,6
72,5
73,5
74,1
75,6
76,7
77,7
78,7
79,2
80,6
81,6
82,6
83,1
84,7
85,7
86,6
87,7
88,1
89,6
90,7
91,6
92,6
93,6
94,6
95,1
96,1
97,7
98,7
99,7
100,7
101,6
102,1
103,6
104,7
105,7
106,1
107,7
108,6
109,6
110,7
111,6
112,6
113,6
114,1
115,1
116,7
117,1
118,1
119,7
120,6
121,7
122,7
123,2
124,1
125,6
126,6
127,7
128,7
129,7
130,7
131,7
132,5
133,6
134,7
135,7
136,7
137,6
138,1
139,6
140,7
141,7
142,6
143,1
144,5
145,7
146,6
147,7
148,7
149,6
150,1
151,7
152,6
153,7
154,6
155,7
156,1
157,7
158,7
159,7
160,1
161,7
162,6
163,7
164,6
165,1
166,1
167,7
168,6
169,7
170,6
171,6
172,7
173,7
174,6
175,1
176,1
177,7
178,7
179,1
180,6
181,7
182,1
183,6
184,6
185,7
186,7
187,6
188,1
189,6
190,7
191,6
192,1
193,7
194,7
195,6
196,7
197,7
198,7
199,6
200,7
201,1
202,1
203,7
204,7
205,7
206,6
207,6
208,7
209,6
210,6
211,6
212,7
213,7
214,6
215,7
216,7
217,1
218,6
219,6
220,7
221,6
222,6
223,1
224,6
225,6
226,6
227,7
228,6
229,1
230,6
231,7
232,6
233,7
234,1
235,7
236,6
237,6
238,1
239,1
240,6
241,6
242,6
243,6
244,6
245,7
246,5
247,7
248,7
249,1
250,7
251,7
252,7
253,1
254,7
255,1
256,7
257,5
258,1
259,7
260,6
261,6
262,6
263,1
264,5
265,7
266,6
267,6
268,1
269,7
270,1
271,6
272,6
273,6
274,7
275,1
276,7
277,1
278,7
279,1
280,7
281,6
282,7
283,2
284,7
285,6
286,6
287,7
288,1
289,7
290,7
291,5
292,7
293,7
294,7
295,7
296,6
297,1
298,5
299,6
300,6
301,6
302,6
303,1
304,6
305,6
306,6
307,7
308,1
309,7
310,6
311,7
312,6
313,1
314,7
315,7
316,7
317,7
318,7
319,1
320,1
321,7
322,1
323,1
324,7
325,6
326,7
327,6
328,1
329,7
330,1
331,6
332,7
333,1
334,6
335,6
336,7
337,7
338,6
339,6
340,6
341,6
342,7
343,1
344,6
345,6
346,6
347,6
348,6
349,6
350,6
351,6
352,7
353,7
354,6
355,7
356,6
357,7
358,7
359,6
360,1
361,7
362,6
363,6
364,6
365,7
366,6
367,6
368,1
369,1
370,6
371,1
372,6
373,7
374,7
375,7
376,6
377,7
378,5
379,6
380,7
381,6
382,5
383,5
384,7
385,6
386,6
387,6
388,1
389,5
390,7
391,1
392,7
393,7
394,7
395,6
396,1
397,1
398,1
399,7
400,7
401,7
402,7
403,6
404,1
405,1
406,1
407,7
408,6
409,6
410,6
411,6
412,5
413,7
414,1
415,2
416,7
417,1
418,1
419,6
420,6
421,7
422,6
423,6
424,6
425,7
426,1
427,7
428,7
429,7
430,7
431,7
432,6
433,7
434,2
435,6
436,1
437,1
438,7
439,6
440,7
441,1
442,7
443,7
444,7
445,1
446,7
447,1
448,5
449,6
450,7
451,7
452,7
453,6
454,7
455,6
456,7
457,2
458,5
459,1
460,6
461,6
462,7
463,6
464,6
465,5
466,1
467,7
468,7
469,7
470,1
471,1
472,7
473,7
474,6
475,6
476,5
477,1
478,6
479,1
480,6
481,7
482,7
483,1
484,6
485,7
486,7
487,7
488,1
489,6
490,7
491,7
492,7
493,6
494,7
495,6
496,7
497,6
498,7
499,6
500,6
501,6
502,6
503,7
504,7
505,1
506,6
507,7
508,6
509,6
510,6
511,7
512,6
513,1
514,7
515,6
516,1
517,5
518,7
519,7
520,7
521,7
522,7
523,6
524,7
525,7
526,1
527,5
528,1
529,1
530,7
531,7
532,7
533,6
534,5
535,7
536,5
537,6
538,6
539,7
540,1
541,7
542,2
543,1
544,2
545,6
546,7
547,7
548,7
549,6
550,1
551,1
552,6
553,7
554,7
555,7
556,6
557,7
558,5
559,6
560,6
561,6
562,6
563,1
564,1
565,6
566,5
567,1
568,1
569,1
570,7
571,7
572,7
573,7
574,6
575,7
576,7
577,1
578,6
579,6
580,6
581,6
582,1
583,7
584,6
585,7
586,1
587,7
588,6
589,7
590,6
591,1
592,7
