"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"01/29/2017 00:05:00","CAPITL",61757,43.15,-1.52,-70.36
"01/29/2017 00:05:00","CENTRL",61754,-16.84,0.08,-8.78
"01/29/2017 00:05:00","DUNWOD",61760,25.03,-1.95,-52.68
"01/29/2017 00:05:00","GENESE",61753,-17.43,1.13,-7.13
"01/29/2017 00:05:00","H Q",61844,-25.10,0.59,0.00
"01/29/2017 00:05:00","HUD VL",61758,25.00,-2.01,-52.69
"01/29/2017 00:05:00","LONGIL",61762,24.37,-2.62,-52.68
"01/29/2017 00:05:00","MHK VL",61756,-16.26,-0.75,-10.17
"01/29/2017 00:05:00","MILLWD",61759,25.49,-2.01,-53.19
"01/29/2017 00:05:00","N.Y.C.",61761,24.90,-2.08,-52.67
"01/29/2017 00:05:00","NORTH",61755,-25.15,0.54,0.00
"01/29/2017 00:05:00","NPX",61845,34.98,-1.62,-62.30
"01/29/2017 00:05:00","O H",61846,-14.08,2.24,-9.38
"01/29/2017 00:05:00","PJM",61847,3.95,0.00,-29.65
"01/29/2017 00:05:00","WEST",61752,-14.66,1.95,-9.07
"01/29/2017 00:10:00","CAPITL",61757,21.91,0.26,-17.30
"01/29/2017 00:10:00","CENTRL",61754,6.50,-0.01,-2.16
"01/29/2017 00:10:00","DUNWOD",61760,17.64,0.33,-12.95
"01/29/2017 00:10:00","GENESE",61753,5.92,-0.19,-1.75
"01/29/2017 00:10:00","H Q",61844,4.25,-0.10,0.00
"01/29/2017 00:10:00","HUD VL",61758,17.65,0.34,-12.95
"01/29/2017 00:10:00","LONGIL",61762,17.75,0.44,-12.95
"01/29/2017 00:10:00","MHK VL",61756,6.98,0.13,-2.50
"01/29/2017 00:10:00","MILLWD",61759,17.77,0.34,-13.08
"01/29/2017 00:10:00","N.Y.C.",61761,17.66,0.35,-12.95
"01/29/2017 00:10:00","NORTH",61755,4.25,-0.11,0.00
"01/29/2017 00:10:00","NPX",61845,19.95,0.28,-15.32
"01/29/2017 00:10:00","O H",61846,6.29,-0.37,-2.31
"01/29/2017 00:10:00","PJM",61847,11.64,0.00,-7.29
"01/29/2017 00:10:00","WEST",61752,6.26,-0.33,-2.23
"01/29/2017 00:15:00","CAPITL",61757,31.01,0.13,-28.63
"01/29/2017 00:15:00","CENTRL",61754,5.82,-0.01,-3.58
"01/29/2017 00:15:00","DUNWOD",61760,23.86,0.17,-21.44
"01/29/2017 00:15:00","GENESE",61753,5.06,-0.09,-2.90
"01/29/2017 00:15:00","H Q",61844,2.20,-0.05,0.00
"01/29/2017 00:15:00","HUD VL",61758,23.87,0.17,-21.45
"01/29/2017 00:15:00","LONGIL",61762,23.91,0.22,-21.44
"01/29/2017 00:15:00","MHK VL",61756,6.46,0.07,-4.15
"01/29/2017 00:15:00","MILLWD",61759,24.07,0.17,-21.65
"01/29/2017 00:15:00","N.Y.C.",61761,23.86,0.18,-21.44
"01/29/2017 00:15:00","NORTH",61755,2.20,-0.05,0.00
"01/29/2017 00:15:00","NPX",61845,27.74,0.14,-25.36
"01/29/2017 00:15:00","O H",61846,5.88,-0.18,-3.82
"01/29/2017 00:15:00","PJM",61847,14.32,0.00,-12.07
"01/29/2017 00:15:00","WEST",61752,5.78,-0.16,-3.69
"01/29/2017 00:20:00","CAPITL",61757,25.49,0.21,-21.52
"01/29/2017 00:20:00","CENTRL",61754,6.45,0.00,-2.69
"01/29/2017 00:20:00","DUNWOD",61760,20.15,0.27,-16.11
"01/29/2017 00:20:00","GENESE",61753,5.80,-0.15,-2.18
"01/29/2017 00:20:00","H Q",61844,3.68,-0.08,0.00
"01/29/2017 00:20:00","HUD VL",61758,20.17,0.28,-16.12
"01/29/2017 00:20:00","LONGIL",61762,20.25,0.37,-16.11
"01/29/2017 00:20:00","MHK VL",61756,7.00,0.11,-3.12
"01/29/2017 00:20:00","MILLWD",61759,20.32,0.28,-16.27
"01/29/2017 00:20:00","N.Y.C.",61761,20.17,0.29,-16.11
"01/29/2017 00:20:00","NORTH",61755,3.70,-0.07,0.00
"01/29/2017 00:20:00","NPX",61845,23.05,0.23,-19.05
"01/29/2017 00:20:00","O H",61846,6.33,-0.30,-2.87
"01/29/2017 00:20:00","PJM",61847,12.84,0.01,-9.07
"01/29/2017 00:20:00","WEST",61752,6.28,-0.26,-2.78
"01/29/2017 00:25:00","CAPITL",61757,31.01,0.13,-28.64
"01/29/2017 00:25:00","CENTRL",61754,5.82,0.00,-3.58
"01/29/2017 00:25:00","DUNWOD",61760,23.86,0.16,-21.45
"01/29/2017 00:25:00","GENESE",61753,5.06,-0.09,-2.90
"01/29/2017 00:25:00","H Q",61844,2.20,-0.05,0.00
"01/29/2017 00:25:00","HUD VL",61758,23.87,0.17,-21.46
"01/29/2017 00:25:00","LONGIL",61762,23.91,0.22,-21.45
"01/29/2017 00:25:00","MHK VL",61756,6.46,0.07,-4.15
"01/29/2017 00:25:00","MILLWD",61759,24.07,0.17,-21.66
"01/29/2017 00:25:00","N.Y.C.",61761,23.86,0.18,-21.44
"01/29/2017 00:25:00","NORTH",61755,2.20,-0.04,0.00
"01/29/2017 00:25:00","NPX",61845,27.74,0.13,-25.36
"01/29/2017 00:25:00","O H",61846,5.88,-0.18,-3.82
"01/29/2017 00:25:00","PJM",61847,14.32,0.00,-12.07
"01/29/2017 00:25:00","WEST",61752,5.78,-0.16,-3.69
"01/29/2017 00:30:00","CAPITL",61757,31.46,0.16,-28.45
"01/29/2017 00:30:00","CENTRL",61754,6.39,-0.01,-3.56
"01/29/2017 00:30:00","DUNWOD",61760,24.35,0.21,-21.31
"01/29/2017 00:30:00","GENESE",61753,5.60,-0.12,-2.88
"01/29/2017 00:30:00","H Q",61844,2.78,-0.06,0.00
"01/29/2017 00:30:00","HUD VL",61758,24.37,0.21,-21.32
"01/29/2017 00:30:00","LONGIL",61762,24.42,0.27,-21.31
"01/29/2017 00:30:00","MHK VL",61756,7.04,0.08,-4.12
"01/29/2017 00:30:00","MILLWD",61759,24.57,0.21,-21.51
"01/29/2017 00:30:00","N.Y.C.",61761,24.36,0.22,-21.30
"01/29/2017 00:30:00","NORTH",61755,2.79,-0.05,0.00
"01/29/2017 00:30:00","NPX",61845,28.21,0.17,-25.20
"01/29/2017 00:30:00","O H",61846,6.40,-0.23,-3.79
"01/29/2017 00:30:00","PJM",61847,14.83,0.00,-11.99
"01/29/2017 00:30:00","WEST",61752,6.30,-0.21,-3.67
"01/29/2017 00:35:00","CAPITL",61757,33.79,0.14,-31.19
"01/29/2017 00:35:00","CENTRL",61754,6.36,0.00,-3.90
"01/29/2017 00:35:00","DUNWOD",61760,25.99,0.18,-23.36
"01/29/2017 00:35:00","GENESE",61753,5.52,-0.10,-3.16
"01/29/2017 00:35:00","H Q",61844,2.41,-0.05,0.00
"01/29/2017 00:35:00","HUD VL",61758,26.01,0.18,-23.37
"01/29/2017 00:35:00","LONGIL",61762,26.05,0.23,-23.36
"01/29/2017 00:35:00","MHK VL",61756,7.05,0.07,-4.52
"01/29/2017 00:35:00","MILLWD",61759,26.23,0.18,-23.58
"01/29/2017 00:35:00","N.Y.C.",61761,26.00,0.18,-23.35
"01/29/2017 00:35:00","NORTH",61755,2.42,-0.04,0.00
"01/29/2017 00:35:00","NPX",61845,30.23,0.15,-27.62
"01/29/2017 00:35:00","O H",61846,6.42,-0.20,-4.16
"01/29/2017 00:35:00","PJM",61847,15.61,0.00,-13.14
"01/29/2017 00:35:00","WEST",61752,6.31,-0.18,-4.02
"01/29/2017 00:40:00","CAPITL",61757,21.91,0.25,-17.29
"01/29/2017 00:40:00","CENTRL",61754,6.52,-0.01,-2.16
"01/29/2017 00:40:00","DUNWOD",61760,17.63,0.31,-12.95
"01/29/2017 00:40:00","GENESE",61753,5.94,-0.19,-1.75
"01/29/2017 00:40:00","H Q",61844,4.28,-0.09,0.00
"01/29/2017 00:40:00","HUD VL",61758,17.65,0.32,-12.95
"01/29/2017 00:40:00","LONGIL",61762,17.74,0.42,-12.95
"01/29/2017 00:40:00","MHK VL",61756,7.00,0.13,-2.50
"01/29/2017 00:40:00","MILLWD",61759,17.77,0.32,-13.07
"01/29/2017 00:40:00","N.Y.C.",61761,17.65,0.33,-12.95
"01/29/2017 00:40:00","NORTH",61755,4.29,-0.08,0.00
"01/29/2017 00:40:00","NPX",61845,19.95,0.27,-15.31
"01/29/2017 00:40:00","O H",61846,6.31,-0.36,-2.30
"01/29/2017 00:40:00","PJM",61847,11.66,0.00,-7.29
"01/29/2017 00:40:00","WEST",61752,6.27,-0.33,-2.23
