"Forecast Date","Vintage Date","Vintage","Station ID","Max Temp","Min Temp","Max Wet Bulb","Min Wet Bulb"
"01/30/2017","01/27/2017","Actual","ALB",39,34,34,29
"01/30/2017","01/27/2017","Actual","ART",36,32,33,30
"01/30/2017","01/27/2017","Actual","BGM",31,27,29,25
"01/30/2017","01/27/2017","Actual","BUF",35,30,32,27
"01/30/2017","01/27/2017","Actual","ELM",37,31,32,28
"01/30/2017","01/27/2017","Actual","HPN",41,35,35,31
"01/30/2017","01/27/2017","Actual","ISP",42,36,36,32
"01/30/2017","01/27/2017","Actual","JFK",45,37,36,32
"01/30/2017","01/27/2017","Actual","LGA",45,39,38,33
"01/30/2017","01/27/2017","Actual","MSS",35,30,33,28
"01/30/2017","01/27/2017","Actual","MSV",34,28,32,26
"01/30/2017","01/27/2017","Actual","PLB",34,27,31,25
"01/30/2017","01/27/2017","Actual","POU",40,35,34,30
"01/30/2017","01/27/2017","Actual","ROC",37,31,33,28
"01/30/2017","01/27/2017","Actual","SWF",39,34,34,30
"01/30/2017","01/27/2017","Actual","SYR",36,32,34,28
"01/30/2017","01/27/2017","Actual","UCA",34,30,33,29
"01/30/2017","01/28/2017","Actual","ALB",37,31,30,26
"01/30/2017","01/28/2017","Actual","ART",34,30,31,29
"01/30/2017","01/28/2017","Actual","BGM",27,24,25,23
"01/30/2017","01/28/2017","Actual","BUF",30,28,29,26
"01/30/2017","01/28/2017","Actual","ELM",32,30,28,26
"01/30/2017","01/28/2017","Actual","HPN",37,33,31,28
"01/30/2017","01/28/2017","Actual","ISP",40,31,33,28
"01/30/2017","01/28/2017","Actual","JFK",39,34,33,29
"01/30/2017","01/28/2017","Actual","LGA",40,37,33,31
"01/30/2017","01/28/2017","Actual","MSS",35,27,31,25
"01/30/2017","01/28/2017","Actual","MSV",30,28,27,25
"01/30/2017","01/28/2017","Actual","PLB",35,24,31,21
"01/30/2017","01/28/2017","Actual","POU",35,32,30,28
"01/30/2017","01/28/2017","Actual","ROC",32,30,29,27
"01/30/2017","01/28/2017","Actual","SWF",36,30,31,28
"01/30/2017","01/28/2017","Actual","SYR",34,29,30,27
"01/30/2017","01/28/2017","Actual","UCA",33,29,29,27
"01/30/2017","01/29/2017","Actual","ALB",39,29,31,24
"01/30/2017","01/29/2017","Actual","ART",32,21,31,19
"01/30/2017","01/29/2017","Actual","BGM",27,19,25,18
"01/30/2017","01/29/2017","Actual","BUF",30,21,28,19
"01/30/2017","01/29/2017","Actual","ELM",34,19,28,17
"01/30/2017","01/29/2017","Actual","HPN",41,33,32,28
"01/30/2017","01/29/2017","Actual","ISP",44,26,36,25
"01/30/2017","01/29/2017","Actual","JFK",45,32,34,30
"01/30/2017","01/29/2017","Actual","LGA",44,38,34,32
"01/30/2017","01/29/2017","Actual","MSS",31,20,30,18
"01/30/2017","01/29/2017","Actual","MSV",34,27,27,24
"01/30/2017","01/29/2017","Actual","PLB",34,23,29,21
"01/30/2017","01/29/2017","Actual","POU",40,30,32,27
"01/30/2017","01/29/2017","Actual","ROC",31,25,28,22
"01/30/2017","01/29/2017","Actual","SWF",37,30,32,27
"01/30/2017","01/29/2017","Actual","SYR",32,24,28,22
"01/30/2017","01/29/2017","Actual","UCA",32,24,28,23
"01/30/2017","01/30/2017","Forecast","ALB",28,19,23,16
"01/30/2017","01/30/2017","Forecast","ART",21,10,19,9
"01/30/2017","01/30/2017","Forecast","BGM",21,13,18,12
"01/30/2017","01/30/2017","Forecast","BUF",22,15,20,14
"01/30/2017","01/30/2017","Forecast","ELM",27,15,23,13
"01/30/2017","01/30/2017","Forecast","HPN",34,26,27,22
"01/30/2017","01/30/2017","Forecast","ISP",35,25,29,22
"01/30/2017","01/30/2017","Forecast","JFK",37,29,30,24
"01/30/2017","01/30/2017","Forecast","LGA",38,31,31,26
"01/30/2017","01/30/2017","Forecast","MSS",18,9,17,8
"01/30/2017","01/30/2017","Forecast","MSV",26,17,23,15
"01/30/2017","01/30/2017","Forecast","PLB",23,12,21,10
"01/30/2017","01/30/2017","Forecast","POU",32,22,27,19
"01/30/2017","01/30/2017","Forecast","ROC",24,18,23,16
"01/30/2017","01/30/2017","Forecast","SWF",32,22,27,19
"01/30/2017","01/30/2017","Forecast","SYR",23,18,21,16
"01/30/2017","01/30/2017","Forecast","UCA",24,14,22,13
"01/30/2017","01/31/2017","Forecast","ALB",30,16,26,14
"01/30/2017","01/31/2017","Forecast","ART",28,11,25,10
"01/30/2017","01/31/2017","Forecast","BGM",27,12,26,11
"01/30/2017","01/31/2017","Forecast","BUF",32,19,30,17
"01/30/2017","01/31/2017","Forecast","ELM",33,15,30,13
"01/30/2017","01/31/2017","Forecast","HPN",33,23,30,20
"01/30/2017","01/31/2017","Forecast","ISP",35,23,33,20
"01/30/2017","01/31/2017","Forecast","JFK",38,27,35,23
"01/30/2017","01/31/2017","Forecast","LGA",37,29,34,24
"01/30/2017","01/31/2017","Forecast","MSS",23,6,20,5
"01/30/2017","01/31/2017","Forecast","MSV",27,15,26,13
"01/30/2017","01/31/2017","Forecast","PLB",25,7,22,6
"01/30/2017","01/31/2017","Forecast","POU",31,19,28,17
"01/30/2017","01/31/2017","Forecast","ROC",32,18,29,16
"01/30/2017","01/31/2017","Forecast","SWF",31,20,28,17
"01/30/2017","01/31/2017","Forecast","SYR",30,16,27,15
"01/30/2017","01/31/2017","Forecast","UCA",27,10,25,9
